    Freq      Node         Xundef          Yundef          Zundef            Xdef            Ydef            Zdef           Xdisp           Ydisp           Zdisp
 7.64560    130.0      2.07480000      0.00458780      0.04470000      2.07484225      0.00820449      0.04473229      0.00004225      0.00361669      0.00003229
 7.64560    131.0      2.07480000      0.00813460      0.05927600      2.07483324      0.01192169      0.05934952      0.00003324      0.00378709      0.00007352
 7.64560    132.0      2.07480000      0.01266700      0.07357700      2.07482151      0.01665770      0.07371498      0.00002151      0.00399070      0.00013798
 7.64560    133.0      2.07480000      0.01816300      0.08753600      2.07480697      0.02238097      0.08776346      0.00000697      0.00421797      0.00022746
 7.64560    134.0      2.07480000      0.02459700      0.10109000      2.07481045      0.02905628      0.10143206      0.00001045      0.00445928      0.00034206
 7.64560    135.0      2.07480000      0.03194100      0.11417000      2.07483085      0.03664675      0.11465044      0.00003085      0.00470575      0.00048044
 7.64560    136.0      2.07480000      0.04015800      0.12672000      2.07485425      0.04510790      0.12736034      0.00005425      0.00494990      0.00064034
 7.64560    137.0      2.07480000      0.04921200      0.13868000      2.07488070      0.05439805      0.13949912      0.00008070      0.00518605      0.00081912
 7.64560    138.0      2.07480000      0.05906100      0.15000000      2.07491020      0.06447154      0.15101453      0.00011020      0.00541054      0.00101453
 7.64560    139.0      2.05980000      0.05907000     -0.15000000      2.05991022      0.06442658     -0.14899284      0.00011022      0.00535658      0.00100716
 7.64560    140.0      2.05980000      0.04922100     -0.13868000      2.05988070      0.05435450     -0.13786705      0.00008070      0.00513350      0.00081295
 7.64560    141.0      2.05980000      0.04016600     -0.12672000      2.05985424      0.04506489     -0.12608469      0.00005424      0.00489889      0.00063531
 7.64560    142.0      2.05980000      0.03194800     -0.11417000      2.05983084      0.03660445     -0.11369349      0.00003084      0.00465645      0.00047651
 7.64560    143.0      2.05980000      0.02460400     -0.10109000      2.05981045      0.02901586     -0.10075084      0.00001045      0.00441186      0.00033916
 7.64560    144.0      2.05980000      0.01816800     -0.08753900      2.05980697      0.02234057     -0.08731349      0.00000697      0.00417257      0.00022551
 7.64560    145.0      2.05980000      0.01267100     -0.07358000      2.05982151      0.01661837     -0.07344317      0.00002151      0.00394737      0.00013683
 7.64560    146.0      2.05980000      0.00813840     -0.05927900      2.05983323      0.01188414     -0.05920601      0.00003323      0.00374574      0.00007299
 7.64560    147.0      2.05980000      0.00459070     -0.04470300      2.05984225      0.00816775     -0.04467085      0.00004225      0.00357705      0.00003215
 7.64560    148.0      2.05980000      0.00204460     -0.02991900      2.05984862      0.00549435     -0.02990797      0.00004862      0.00344975      0.00001103
 7.64560    149.0      2.05980000      0.00051198     -0.01499500      2.05985242      0.00388247     -0.01499000      0.00005242      0.00337049      0.00000500
 7.64560    150.0      2.05980000      0.00000000     -0.00000185      2.05985368      0.00334358      0.00000264      0.00005368      0.00334358      0.00000449
 7.64560    151.0      2.05980000      0.00051102      0.01499100      2.05985242      0.00388151      0.01499596      0.00005242      0.00337049      0.00000496
 7.64560    152.0      2.05980000      0.00204270      0.02991500      2.05984862      0.00549245      0.02992584      0.00004862      0.00344975      0.00001084
 7.64560    153.0      2.05980000      0.00458780      0.04470000      2.05984225      0.00816486      0.04473193      0.00004225      0.00357706      0.00003193
