    Node          RMS_X          RMS_Y          RMS_Z           Xdef           Ydef           Zdef
   221.0   0.0000131984   0.0009823833   0.0002533905   2.0147131984   0.0030250833   0.0301683905
   222.0   0.0000125644   0.0011476520   0.0002943713   2.0147125644   0.0057354520   0.0449943713
   223.0   0.0000115318   0.0013423341   0.0003521631   2.0147115318   0.0094769341   0.0596281631
   224.0   0.0000100720   0.0015527759   0.0004269842   2.0147100720   0.0142197759   0.0740039842
   225.0   0.0000084314   0.0017703496   0.0005189459   2.0147084314   0.0199333496   0.0880549459
   226.0   0.0000077035   0.0019893931   0.0006279894   2.0147077035   0.0265863931   0.1017179894
   227.0   0.0000098568   0.0022059026   0.0007538208   2.0147098568   0.0341469026   0.1149238208
   228.0   0.0000152624   0.0024168484   0.0008958753   2.0147152624   0.0425748484   0.1276158753
   229.0   0.0000231615   0.0026198605   0.0010533530   2.0147231615   0.0518318605   0.1397333530
   230.0   0.0000332064   0.0028131444   0.0012253540   2.0147332064   0.0618741444   0.1512253540
   231.0   0.0000332177   0.0027839692   0.0012133129   1.9996332177   0.0618539692  -0.1487866871
   232.0   0.0000231586   0.0025923819   0.0010428282   1.9996231586   0.0518133819  -0.1376371718
   233.0   0.0000152573   0.0023911614   0.0008867474   1.9996152573   0.0425571614  -0.1258332526
   234.0   0.0000098552   0.0021821130   0.0007459790   1.9996098552   0.0341301130  -0.1134240210
   235.0   0.0000077042   0.0019676130   0.0006213232   1.9996077042   0.0265716130  -0.1004686768
   236.0   0.0000084302   0.0017506868   0.0005133428   1.9996084302   0.0199186868  -0.0870256572
   237.0   0.0000100688   0.0015353100   0.0004223172   1.9996100688   0.0142063100  -0.0731576828
   238.0   0.0000115280   0.0013270758   0.0003482872   1.9996115280   0.0094654758  -0.0589307128
   239.0   0.0000125608   0.0011344904   0.0002911217   1.9996125608   0.0057251904  -0.0444118783
   240.0   0.0000131952   0.0009710258   0.0002505893   1.9996131952   0.0030156258  -0.0296684107
   241.0   0.0000135230   0.0008568407   0.0002264211   1.9996135230   0.0013688207  -0.0147685789
   242.0   0.0000136224   0.0008150090   0.0002183905   1.9996136224   0.0008150092   0.0002165379
   243.0   0.0000135230   0.0008568446   0.0002264061   1.9996135230   0.0013678646   0.0152174061
   244.0   0.0000131952   0.0009710337   0.0002505587   1.9996131952   0.0030137337   0.0301655587
   245.0   0.0000125608   0.0011345028   0.0002910750   1.9996125608   0.0057223028   0.0449910750
   246.0   0.0000115280   0.0013270918   0.0003482239   1.9996115280   0.0094616918   0.0596242239
   247.0   0.0000100688   0.0015353321   0.0004222374   1.9996100688   0.0142023321   0.0739992374
   248.0   0.0000084302   0.0017507146   0.0005132462   1.9996084302   0.0199137146   0.0880492462
